holeDiameter,rectHeight,rectWidth,itemType,elementType,itemMaterial,cappedUncapped,itemDiameter,itemInsulation,insulationDiameter,supportType,supportThickness,supportDensityId,supportMaterial,fireSide,density.$id,density.id,density.thicknessId,density.thickness,density.minDensity,density.maxDensity,density.distances,fireRate,Y,Y_type
0.1,0.2,0.2,1,1,-1,-1,0.016666666666666666,1022,0.03,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,3,1
0.1,0.25,0.25,0,2,12,-1,0.05,1022,0.03,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,212,18
0.1,0.3,0.3,1,4,12,-1,50.0,1022,0.03,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,1,28,2
0.1,0.3,0.3,1,4,12,-1,50.0,1022,0.03,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,1,28,2
0.101,0.3,0.3,0,1,1,-1,0.1,1022,0.03,RIGID_WALL,0.15,10,0,0,13,4092,4090,,500,-1,,4,106,39
0.1,0.3,0.3,0,1,1,-1,0.1,1022,0.03,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,3,1
0.101,0.3,0.3,0,1,1,-1,0.1,1022,0.03,FLEXIBLE_WALL,0.12,32,1,1,13,4092,4090,,500,-1,,4,3,1
0.2,0.3,0.3,0,1,1,-1,0.1,1022,0.03,RIGID_WALL,0.2,10,0,0,13,4092,4090,,500,-1,,4,119,6
0.2,0.25,0.25,2,1,1,-1,0.1,1022,0.03,FLEXIBLE_WALL,0.05,31,0,0,13,4092,4090,,500,-1,,4,75,4
0.2,0.35,0.35,0,2,12,-1,0.1,1022,0.03,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,1759,32
0.2,0.2,0.2,0,1,1,-1,0.1,1022,0.03,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,119,6
0.22,0.2,0.2,0,2,12,-1,0.2,1022,0.03,RIGID_WALL,0.15,10,0,0,13,4092,4090,,500,-1,,4,212,18
0.22,0.1,0.1,0,1,1,-1,0.1,1022,0.03,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,119,6
0.22,0.25,0.25,0,1,1,-1,0.1,1022,0.03,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,3,1
0.22,0.25,0.25,0,1,1,-1,0.1,1022,0.03,FLEXIBLE_WALL,0.2,32,0,0,13,4092,4090,,500,-1,,4,119,6
0.2,0.25,0.25,0,1,1,-1,0.1,1022,0.03,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,1,3,1
0.12,0.25,0.25,0,1,-1,-1,0.12,1022,0.03,RIGID_WALL,0.14,10,1,1,13,4092,4090,,500,-1,,4,3,1
0.15,0.25,0.25,0,1,1,-1,0.05,1022,0.03,RIGID_WALL,0.15,10,0,0,13,4092,4090,,500,-1,,4,111,6
0.15,0.25,0.25,3,1,-1,-1,0.014748737341529162,1,0.005,FLEXIBLE_WALL,0.1,30,0,0,13,4092,4090,,500,-1,,4,150,34
0.1,0.25,0.25,0,1,1,-1,0.1,1,0.005,CEILING,0.1,17,2,2,13,4092,4090,,500,-1,,1,3,1
0.1,0.25,0.25,0,1,1,-1,0.1,,,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,119,6
0.1,0.25,0.25,3,1,1,-1,0.1,,,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,3,1
0.06,0.25,0.25,0,1,5,-1,0.2,,,RIGID_WALL,0.15,10,0,0,13,4092,4090,,500,-1,,4,3,1
0.25,0.25,0.25,0,2,12,-1,0.05,,,FLEXIBLE_WALL,0.05,31,0,0,13,4092,4090,,500,-1,,4,212,18
0.2,0.25,0.25,0,1,1,-1,0.1,,,CEILING,0.05,17,2,2,13,4092,4090,,500,-1,,4,3,1
0.2,0.25,0.25,2,1,1,-1,0.2,,,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,151,10
0.2,0.25,0.25,0,1,1,-1,0.1,,,FLEXIBLE_WALL,0.2,32,0,0,13,4092,4090,,500,-1,,4,3,1
0.2,0.3,0.3,0,2,12,-1,0.1,1022,0.02,FLEXIBLE_WALL,0.1,30,0,0,13,4092,4090,,500,-1,,4,3,1
0.112,0.3,0.3,0,1,-1,-1,0.11,1022,0.02,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,120,7
0.112,0.25,0.25,2,1,-1,-1,0.11,1022,0.02,RIGID_WALL,0.2,10,0,0,13,4092,4090,,500,-1,,4,75,4
0.112,0.3,0.3,1,4,-1,-1,50.0,1022,0.02,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,1,28,2
0.112,0.25,0.25,0,1,1,-1,0.1,1022,0.02,FLEXIBLE_WALL,0.2,32,0,0,13,4092,4090,,500,-1,,4,3,1
0.2,0.25,0.25,0,1,1,-1,0.1,,,FLEXIBLE_WALL,0.05,31,0,0,13,4092,4090,,500,-1,,1,3,1
0.3,0.25,0.25,2,1,1,-1,0.2,,,RIGID_WALL,0.2,10,0,0,13,4092,4090,,500,-1,,4,220,20
0.2,0.25,0.25,0,1,1,-1,0.1,,,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,1,3,1
0.15,0.25,0.25,0,1,1,-1,0.05,,,RIGID_WALL,0.15,10,0,0,13,4092,4090,,500,-1,,4,113,6
